"genres","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","range","rangenum","rank","userName"
"dance pop, dmv rap, escape room, pop, trap queen","https://api.spotify.com/v1/artists/2OaHYHb2XcFPvqL3VsyPzU","2OaHYHb2XcFPvqL3VsyPzU","Rico Nasty",71,"artist","spotify:artist:2OaHYHb2XcFPvqL3VsyPzU","https://open.spotify.com/artist/2OaHYHb2XcFPvqL3VsyPzU",NA,877868,"long",3,8,"cindy"
"meditation","https://api.spotify.com/v1/artists/4rXABp4A7KjG9elWFNAbO4","4rXABp4A7KjG9elWFNAbO4","Miracle Tones",83,"artist","spotify:artist:4rXABp4A7KjG9elWFNAbO4","https://open.spotify.com/artist/4rXABp4A7KjG9elWFNAbO4",NA,72604,"long",3,9,"cindy"
"melodic rap, rap, trap","https://api.spotify.com/v1/artists/31W5EY0aAly4Qieq6OFu6I","31W5EY0aAly4Qieq6OFu6I","A Boogie Wit da Hoodie",86,"artist","spotify:artist:31W5EY0aAly4Qieq6OFu6I","https://open.spotify.com/artist/31W5EY0aAly4Qieq6OFu6I",NA,6343257,"long",3,10,"cindy"
"hip hop, new orleans rap, pop rap, rap, trap","https://api.spotify.com/v1/artists/55Aa2cqylxrFIXC767Z865","55Aa2cqylxrFIXC767Z865","Lil Wayne",91,"artist","spotify:artist:55Aa2cqylxrFIXC767Z865","https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865",NA,11727383,"long",3,11,"cindy"
"dance pop, pop, pop rap, rap","https://api.spotify.com/v1/artists/4kYSro6naA4h99UJvo89HB","4kYSro6naA4h99UJvo89HB","Cardi B",85,"artist","spotify:artist:4kYSro6naA4h99UJvo89HB","https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB",NA,19416479,"long",3,12,"cindy"
"british soul, pop, pop soul, uk pop","https://api.spotify.com/v1/artists/4dpARuHxo51G3z768sgnrY","4dpARuHxo51G3z768sgnrY","Adele",92,"artist","spotify:artist:4dpARuHxo51G3z768sgnrY","https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY",NA,35290948,"long",3,13,"cindy"
"dance pop, houston rap, pop, trap queen","https://api.spotify.com/v1/artists/181bsRPaVXVlUKXrxwZfHK","181bsRPaVXVlUKXrxwZfHK","Megan Thee Stallion",85,"artist","spotify:artist:181bsRPaVXVlUKXrxwZfHK","https://open.spotify.com/artist/181bsRPaVXVlUKXrxwZfHK",NA,6159348,"long",3,14,"cindy"
"alternative r&b, hip hop, rap, underground hip hop","https://api.spotify.com/v1/artists/1ybINI1qPiFbwDXamRtwxD","1ybINI1qPiFbwDXamRtwxD","Smino",73,"artist","spotify:artist:1ybINI1qPiFbwDXamRtwxD","https://open.spotify.com/artist/1ybINI1qPiFbwDXamRtwxD",NA,619041,"long",3,15,"cindy"
"new jersey underground rap, pop r&b, pop rap, r&b, trap queen, viral rap","https://api.spotify.com/v1/artists/6AMd49uBDJfhf30Ak2QR5s","6AMd49uBDJfhf30Ak2QR5s","Coi Leray",68,"artist","spotify:artist:6AMd49uBDJfhf30Ak2QR5s","https://open.spotify.com/artist/6AMd49uBDJfhf30Ak2QR5s",NA,313316,"long",3,16,"cindy"
"pop r&b, r&b, rap latina, trap queen","https://api.spotify.com/v1/artists/4udfTw7V8jI4AHi7PEfJfj","4udfTw7V8jI4AHi7PEfJfj","Melii",55,"artist","spotify:artist:4udfTw7V8jI4AHi7PEfJfj","https://open.spotify.com/artist/4udfTw7V8jI4AHi7PEfJfj",NA,172183,"long",3,17,"cindy"
"dance pop, gangster rap, hardcore hip hop, hip hop, hip pop, pop rap, r&b, rap, trap, urban contemporary","https://api.spotify.com/v1/artists/0YWxKQj2Go9CGHCp77UOyy","0YWxKQj2Go9CGHCp77UOyy","Fabolous",72,"artist","spotify:artist:0YWxKQj2Go9CGHCp77UOyy","https://open.spotify.com/artist/0YWxKQj2Go9CGHCp77UOyy",NA,2180039,"long",3,18,"cindy"
"alternative r&b, hip hop, lgbtq+ hip hop, neo soul, pop","https://api.spotify.com/v1/artists/2h93pZq0e7k5yf4dywlkpM","2h93pZq0e7k5yf4dywlkpM","Frank Ocean",87,"artist","spotify:artist:2h93pZq0e7k5yf4dywlkpM","https://open.spotify.com/artist/2h93pZq0e7k5yf4dywlkpM",NA,9090292,"long",3,19,"cindy"
