"genres","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","range","rangenum","rank","userName"
"alt z, electropop, la indie, pop","https://api.spotify.com/v1/artists/37M5pPGs6V1fchFJSgCguX","37M5pPGs6V1fchFJSgCguX","FINNEAS",75,"artist","spotify:artist:37M5pPGs6V1fchFJSgCguX","https://open.spotify.com/artist/37M5pPGs6V1fchFJSgCguX",NA,1567908,"short",1,42,"Eve"
"hip hop, rap","https://api.spotify.com/v1/artists/4V8LLVI7PbaPR0K2TGSxFF","4V8LLVI7PbaPR0K2TGSxFF","Tyler, The Creator",89,"artist","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF",NA,8190229,"short",1,43,"Eve"
"alternative r&b, escape room, indie soul","https://api.spotify.com/v1/artists/4lPl9gqgox3JDiaJ1yklKh","4lPl9gqgox3JDiaJ1yklKh","Tierra Whack",64,"artist","spotify:artist:4lPl9gqgox3JDiaJ1yklKh","https://open.spotify.com/artist/4lPl9gqgox3JDiaJ1yklKh",NA,398176,"short",1,44,"Eve"
"alt z, indie pop, pop","https://api.spotify.com/v1/artists/4tuJ0bMpJh08umKkEXKUI5","4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams",71,"artist","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","https://open.spotify.com/artist/4tuJ0bMpJh08umKkEXKUI5",NA,363273,"short",1,45,"Eve"
"electropop, pop, pop rap","https://api.spotify.com/v1/artists/5CiGnKThu5ctn9pBxv7DGa","5CiGnKThu5ctn9pBxv7DGa","benny blanco",77,"artist","spotify:artist:5CiGnKThu5ctn9pBxv7DGa","https://open.spotify.com/artist/5CiGnKThu5ctn9pBxv7DGa",NA,880838,"short",1,46,"Eve"
"","https://api.spotify.com/v1/artists/5UjifI1TYefXWn9GdqDOHl","5UjifI1TYefXWn9GdqDOHl","Social House",68,"artist","spotify:artist:5UjifI1TYefXWn9GdqDOHl","https://open.spotify.com/artist/5UjifI1TYefXWn9GdqDOHl",NA,136245,"short",1,47,"Eve"
"dance pop, pop","https://api.spotify.com/v1/artists/5cj0lLjcoR7YOSnhnX0Po5","5cj0lLjcoR7YOSnhnX0Po5","Doja Cat",94,"artist","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5",NA,16537929,"short",1,48,"Eve"
"alternative pop rock, pop","https://api.spotify.com/v1/artists/6USv9qhCn6zfxlBQIYJ9qs","6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike",80,"artist","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","https://open.spotify.com/artist/6USv9qhCn6zfxlBQIYJ9qs",NA,853764,"short",1,49,"Eve"
"cali rap, pop rap","https://api.spotify.com/v1/artists/6fWVd57NKTalqvmjRd2t8Z","6fWVd57NKTalqvmjRd2t8Z","24kGoldn",81,"artist","spotify:artist:6fWVd57NKTalqvmjRd2t8Z","https://open.spotify.com/artist/6fWVd57NKTalqvmjRd2t8Z",NA,1582106,"short",1,50,"Eve"
"hip hop, pop rap, rap","https://api.spotify.com/v1/artists/6fOMl44jA4Sp5b9PpYCkzz","6fOMl44jA4Sp5b9PpYCkzz","NF",84,"artist","spotify:artist:6fOMl44jA4Sp5b9PpYCkzz","https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz",NA,6769936,"mid",2,1,"Eve"
"electropop, pop, pop rap","https://api.spotify.com/v1/artists/1ShZZUjkbXCjhwrb18BA8I","1ShZZUjkbXCjhwrb18BA8I","Bryce Vine",72,"artist","spotify:artist:1ShZZUjkbXCjhwrb18BA8I","https://open.spotify.com/artist/1ShZZUjkbXCjhwrb18BA8I",NA,445229,"mid",2,2,"Eve"
"hip hop, pop, portland hip hop, rap, underground hip hop","https://api.spotify.com/v1/artists/3Gm5F95VdRxW3mqCn8RPBJ","3Gm5F95VdRxW3mqCn8RPBJ","Aminé",76,"artist","spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ","https://open.spotify.com/artist/3Gm5F95VdRxW3mqCn8RPBJ",NA,1751922,"mid",2,3,"Eve"
"electropop, indie pop rap, pop, pop rap","https://api.spotify.com/v1/artists/3ApUX1o6oSz321MMECyIYd","3ApUX1o6oSz321MMECyIYd","Quinn XCII",74,"artist","spotify:artist:3ApUX1o6oSz321MMECyIYd","https://open.spotify.com/artist/3ApUX1o6oSz321MMECyIYd",NA,689577,"mid",2,4,"Eve"
"conscious hip hop, dmv rap, hip hop, pop rap, rap","https://api.spotify.com/v1/artists/4xRYI6VqpkE3UwrDrAZL8L","4xRYI6VqpkE3UwrDrAZL8L","Logic",82,"artist","spotify:artist:4xRYI6VqpkE3UwrDrAZL8L","https://open.spotify.com/artist/4xRYI6VqpkE3UwrDrAZL8L",NA,5653616,"mid",2,5,"Eve"
"pop","https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02","06HL4z0CvFAxyc27GXpf02","Taylor Swift",98,"artist","spotify:artist:06HL4z0CvFAxyc27GXpf02","https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02",NA,50300831,"mid",2,6,"Eve"
"broadway, hollywood, show tunes","https://api.spotify.com/v1/artists/0bvwPCit9Yh0yVdLKGnXRi","0bvwPCit9Yh0yVdLKGnXRi","Adam Pascal",56,"artist","spotify:artist:0bvwPCit9Yh0yVdLKGnXRi","https://open.spotify.com/artist/0bvwPCit9Yh0yVdLKGnXRi",NA,15868,"mid",2,7,"Eve"
"pop, pop r&b","https://api.spotify.com/v1/artists/6LuN9FCkKOj5PcnpouEgny","6LuN9FCkKOj5PcnpouEgny","Khalid",89,"artist","spotify:artist:6LuN9FCkKOj5PcnpouEgny","https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny",NA,15009412,"mid",2,8,"Eve"
"conscious hip hop, hip hop, north carolina hip hop, rap","https://api.spotify.com/v1/artists/6l3HvQ5sa6mXTsMTB19rO5","6l3HvQ5sa6mXTsMTB19rO5","J. Cole",90,"artist","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5",NA,16123853,"mid",2,9,"Eve"
"neo soul, r&b, urban contemporary","https://api.spotify.com/v1/artists/2xDc4cU0Rj6YG8SrmAHIy0","2xDc4cU0Rj6YG8SrmAHIy0","Heather Headley",48,"artist","spotify:artist:2xDc4cU0Rj6YG8SrmAHIy0","https://open.spotify.com/artist/2xDc4cU0Rj6YG8SrmAHIy0",NA,63779,"mid",2,10,"Eve"
"pop","https://api.spotify.com/v1/artists/1McMsnEElThX1knmY4oliG","1McMsnEElThX1knmY4oliG","Olivia Rodrigo",90,"artist","spotify:artist:1McMsnEElThX1knmY4oliG","https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG",NA,14678386,"mid",2,11,"Eve"
"alternative r&b, hip hop, rap, underground hip hop","https://api.spotify.com/v1/artists/1ybINI1qPiFbwDXamRtwxD","1ybINI1qPiFbwDXamRtwxD","Smino",73,"artist","spotify:artist:1ybINI1qPiFbwDXamRtwxD","https://open.spotify.com/artist/1ybINI1qPiFbwDXamRtwxD",NA,619041,"mid",2,12,"Eve"
"dfw rap, melodic rap, rap","https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60","246dkjvS1zLTtiykXe5h60","Post Malone",91,"artist","spotify:artist:246dkjvS1zLTtiykXe5h60","https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60",NA,36196019,"mid",2,13,"Eve"
"broadway, hollywood, show tunes","https://api.spotify.com/v1/artists/2I5SzHTskqEe8LJl4IvwnT","2I5SzHTskqEe8LJl4IvwnT","Sherie Rene Scott",38,"artist","spotify:artist:2I5SzHTskqEe8LJl4IvwnT","https://open.spotify.com/artist/2I5SzHTskqEe8LJl4IvwnT",NA,8607,"mid",2,14,"Eve"
"hip hop, rap, underground hip hop","https://api.spotify.com/v1/artists/2AfU5LYBVCiCtuCCfM7uVX","2AfU5LYBVCiCtuCCfM7uVX","Kota the Friend",69,"artist","spotify:artist:2AfU5LYBVCiCtuCCfM7uVX","https://open.spotify.com/artist/2AfU5LYBVCiCtuCCfM7uVX",NA,513768,"mid",2,15,"Eve"
"dance pop, escape room, minnesota hip hop, pop, trap queen","https://api.spotify.com/v1/artists/56oDRnqbIiwx4mymNEv7dS","56oDRnqbIiwx4mymNEv7dS","Lizzo",76,"artist","spotify:artist:56oDRnqbIiwx4mymNEv7dS","https://open.spotify.com/artist/56oDRnqbIiwx4mymNEv7dS",NA,4404939,"mid",2,16,"Eve"
"dance pop, pop, pop rap, r&b","https://api.spotify.com/v1/artists/0cGUm45nv7Z6M6qdXYQGTX","0cGUm45nv7Z6M6qdXYQGTX","Kehlani",81,"artist","spotify:artist:0cGUm45nv7Z6M6qdXYQGTX","https://open.spotify.com/artist/0cGUm45nv7Z6M6qdXYQGTX",NA,5601510,"mid",2,17,"Eve"
"afro r&b, ghanaian alternative, ghanaian pop","https://api.spotify.com/v1/artists/21UPYSRWFKwtqvSAnFnSvS","21UPYSRWFKwtqvSAnFnSvS","Amaarae",74,"artist","spotify:artist:21UPYSRWFKwtqvSAnFnSvS","https://open.spotify.com/artist/21UPYSRWFKwtqvSAnFnSvS",NA,114226,"mid",2,18,"Eve"
"chicago rap, conscious hip hop, hip hop, pop rap, rap","https://api.spotify.com/v1/artists/1anyVhU62p31KFi8MEzkbf","1anyVhU62p31KFi8MEzkbf","Chance the Rapper",80,"artist","spotify:artist:1anyVhU62p31KFi8MEzkbf","https://open.spotify.com/artist/1anyVhU62p31KFi8MEzkbf",NA,5581851,"mid",2,19,"Eve"
"alternative r&b, chicago rap, chill r&b, pop, pop rap","https://api.spotify.com/v1/artists/4T8NIfZmVY6TJFqVzN6X49","4T8NIfZmVY6TJFqVzN6X49","tobi lou",66,"artist","spotify:artist:4T8NIfZmVY6TJFqVzN6X49","https://open.spotify.com/artist/4T8NIfZmVY6TJFqVzN6X49",NA,329048,"mid",2,20,"Eve"
