"genres","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","range","rangenum","rank","userName"
"australian psych, neo-psychedelic","https://api.spotify.com/v1/artists/5INjqkS1o8h1imAzPqGZBb","5INjqkS1o8h1imAzPqGZBb","Tame Impala",83,"artist","spotify:artist:5INjqkS1o8h1imAzPqGZBb","https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb",NA,5487615,"mid",2,27,"claudia"
"bedroom pop, bubblegrunge, indie pop, norwegian indie, pop","https://api.spotify.com/v1/artists/3uwAm6vQy7kWPS2bciKWx9","3uwAm6vQy7kWPS2bciKWx9","girl in red",81,"artist","spotify:artist:3uwAm6vQy7kWPS2bciKWx9","https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9",NA,4645932,"mid",2,28,"claudia"
"indie garage rock, indie pop, liverpool indie","https://api.spotify.com/v1/artists/77mJc3M7ZT5oOVM7gNdXim","77mJc3M7ZT5oOVM7gNdXim","Her's",68,"artist","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","https://open.spotify.com/artist/77mJc3M7ZT5oOVM7gNdXim",NA,504152,"mid",2,29,"claudia"
"dance rock, new romantic, new wave, new wave pop, rock, synthpop","https://api.spotify.com/v1/artists/0lZoBs4Pzo7R89JM9lxwoT","0lZoBs4Pzo7R89JM9lxwoT","Duran Duran",71,"artist","spotify:artist:0lZoBs4Pzo7R89JM9lxwoT","https://open.spotify.com/artist/0lZoBs4Pzo7R89JM9lxwoT",NA,2215465,"mid",2,30,"claudia"
"electropop, indietronica, metropopolis, modern rock","https://api.spotify.com/v1/artists/1l9d7B8W0IHy3LqWsxP2SH","1l9d7B8W0IHy3LqWsxP2SH","Phantogram",72,"artist","spotify:artist:1l9d7B8W0IHy3LqWsxP2SH","https://open.spotify.com/artist/1l9d7B8W0IHy3LqWsxP2SH",NA,689593,"mid",2,31,"claudia"
"edmonton indie, lo-fi indie","https://api.spotify.com/v1/artists/3Sz7ZnJQBIHsXLUSo0OQtM","3Sz7ZnJQBIHsXLUSo0OQtM","Mac DeMarco",82,"artist","spotify:artist:3Sz7ZnJQBIHsXLUSo0OQtM","https://open.spotify.com/artist/3Sz7ZnJQBIHsXLUSo0OQtM",NA,2507053,"mid",2,32,"claudia"
"","https://api.spotify.com/v1/artists/5zQsBMuxuacTrhfuDxZreG","5zQsBMuxuacTrhfuDxZreG","Peder B. Helland",66,"artist","spotify:artist:5zQsBMuxuacTrhfuDxZreG","https://open.spotify.com/artist/5zQsBMuxuacTrhfuDxZreG",NA,47776,"mid",2,33,"claudia"
"chillhop, lo-fi beats","https://api.spotify.com/v1/artists/69cjjIQEN8M6heOBT2SqZE","69cjjIQEN8M6heOBT2SqZE","Wun Two",59,"artist","spotify:artist:69cjjIQEN8M6heOBT2SqZE","https://open.spotify.com/artist/69cjjIQEN8M6heOBT2SqZE",NA,73986,"mid",2,34,"claudia"
"indietronica, modern rock, pop rock, rock","https://api.spotify.com/v1/artists/7gP3bB2nilZXLfPHJhMdvc","7gP3bB2nilZXLfPHJhMdvc","Foster The People",76,"artist","spotify:artist:7gP3bB2nilZXLfPHJhMdvc","https://open.spotify.com/artist/7gP3bB2nilZXLfPHJhMdvc",NA,3386414,"mid",2,35,"claudia"
"","https://api.spotify.com/v1/artists/7rQw3g2uq461wij5ZRUw2j","7rQw3g2uq461wij5ZRUw2j","New York City Sounds for Sleeping",24,"artist","spotify:artist:7rQw3g2uq461wij5ZRUw2j","https://open.spotify.com/artist/7rQw3g2uq461wij5ZRUw2j",NA,428,"mid",2,36,"claudia"
"dance pop, pop","https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C","0du5cEVh5yTK9QJze8zA0C","Bruno Mars",92,"artist","spotify:artist:0du5cEVh5yTK9QJze8zA0C","https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C",NA,38586634,"mid",2,37,"claudia"
"lo-fi jazzhop","https://api.spotify.com/v1/artists/1GzwYC8JgtfOTyvAiiuGNs","1GzwYC8JgtfOTyvAiiuGNs","Chancla",52,"artist","spotify:artist:1GzwYC8JgtfOTyvAiiuGNs","https://open.spotify.com/artist/1GzwYC8JgtfOTyvAiiuGNs",NA,2539,"mid",2,38,"claudia"
"canadian pop, pop","https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s","1uNFoZAHBGtllmzznpCI3s","Justin Bieber",96,"artist","spotify:artist:1uNFoZAHBGtllmzznpCI3s","https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s",NA,57568544,"mid",2,39,"claudia"
"art pop, electropop, indie pop, indie poptimism, indietronica, modern dream pop, vapor soul","https://api.spotify.com/v1/artists/3IunaFjvNKj98JW89JYv9u","3IunaFjvNKj98JW89JYv9u","The Japanese House",64,"artist","spotify:artist:3IunaFjvNKj98JW89JYv9u","https://open.spotify.com/artist/3IunaFjvNKj98JW89JYv9u",NA,515638,"mid",2,40,"claudia"
"bedroom pop, indie pop, pop","https://api.spotify.com/v1/artists/3l0CmX0FuQjFxr8SK7Vqag","3l0CmX0FuQjFxr8SK7Vqag","Clairo",81,"artist","spotify:artist:3l0CmX0FuQjFxr8SK7Vqag","https://open.spotify.com/artist/3l0CmX0FuQjFxr8SK7Vqag",NA,3131364,"mid",2,41,"claudia"
"barbadian pop, dance pop, pop, pop rap, urban contemporary","https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H","5pKCCKE2ajJHZ9KAiaK11H","Rihanna",92,"artist","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H",NA,47498223,"mid",2,42,"claudia"
"lo-fi jazzhop","https://api.spotify.com/v1/artists/7q0bttnSm6LD4zu9RoPEkz","7q0bttnSm6LD4zu9RoPEkz","Dualizm",56,"artist","spotify:artist:7q0bttnSm6LD4zu9RoPEkz","https://open.spotify.com/artist/7q0bttnSm6LD4zu9RoPEkz",NA,713,"mid",2,43,"claudia"
"art pop, pop","https://api.spotify.com/v1/artists/00FQb4jTyendYWaN8pK0wa","00FQb4jTyendYWaN8pK0wa","Lana Del Rey",88,"artist","spotify:artist:00FQb4jTyendYWaN8pK0wa","https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa",NA,15546917,"mid",2,44,"claudia"
"contemporary country, country, country road","https://api.spotify.com/v1/artists/0BvkDsjIUla7X0k6CSWh1I","0BvkDsjIUla7X0k6CSWh1I","Luke Bryan",79,"artist","spotify:artist:0BvkDsjIUla7X0k6CSWh1I","https://open.spotify.com/artist/0BvkDsjIUla7X0k6CSWh1I",NA,7133326,"mid",2,45,"claudia"
"newcastle nsw indie","https://api.spotify.com/v1/artists/0U7iI0Dk4Ojvi17nZboNO4","0U7iI0Dk4Ojvi17nZboNO4","Vacations",74,"artist","spotify:artist:0U7iI0Dk4Ojvi17nZboNO4","https://open.spotify.com/artist/0U7iI0Dk4Ojvi17nZboNO4",NA,270204,"mid",2,46,"claudia"
"bedroom pop, indie pop","https://api.spotify.com/v1/artists/1AbJ2cmwK400LSvdvBL5Jc","1AbJ2cmwK400LSvdvBL5Jc","Strawberry Guy",67,"artist","spotify:artist:1AbJ2cmwK400LSvdvBL5Jc","https://open.spotify.com/artist/1AbJ2cmwK400LSvdvBL5Jc",NA,181810,"mid",2,47,"claudia"
"disco, mellow gold, soft rock","https://api.spotify.com/v1/artists/1LZEQNv7sE11VDY3SdxQeN","1LZEQNv7sE11VDY3SdxQeN","Bee Gees",80,"artist","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","https://open.spotify.com/artist/1LZEQNv7sE11VDY3SdxQeN",NA,5438535,"mid",2,48,"claudia"
"conscious hip hop, hip hop, rap, west coast rap","https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg","2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar",91,"artist","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg",NA,19508538,"mid",2,49,"claudia"
"","https://api.spotify.com/v1/artists/4ELcaEK7UaF0mUoodoVBfn","4ELcaEK7UaF0mUoodoVBfn","Bluewerks",49,"artist","spotify:artist:4ELcaEK7UaF0mUoodoVBfn","https://open.spotify.com/artist/4ELcaEK7UaF0mUoodoVBfn",NA,1398,"mid",2,50,"claudia"
"french soundtrack, orchestral soundtrack, soundtrack","https://api.spotify.com/v1/artists/71jzN72g8qWMCMkWC5p1Z0","71jzN72g8qWMCMkWC5p1Z0","Alexandre Desplat",68,"artist","spotify:artist:71jzN72g8qWMCMkWC5p1Z0","https://open.spotify.com/artist/71jzN72g8qWMCMkWC5p1Z0",NA,276100,"long",3,1,"claudia"
"orchestral soundtrack, soundtrack","https://api.spotify.com/v1/artists/3dRfiJ2650SZu6GbydcHNb","3dRfiJ2650SZu6GbydcHNb","John Williams",76,"artist","spotify:artist:3dRfiJ2650SZu6GbydcHNb","https://open.spotify.com/artist/3dRfiJ2650SZu6GbydcHNb",NA,1095386,"long",3,2,"claudia"
"british soundtrack, scorecore, soundtrack","https://api.spotify.com/v1/artists/6S9bLkEZSVIcY18RNcNG50","6S9bLkEZSVIcY18RNcNG50","Nicholas Hooper",60,"artist","spotify:artist:6S9bLkEZSVIcY18RNcNG50","https://open.spotify.com/artist/6S9bLkEZSVIcY18RNcNG50",NA,39739,"long",3,3,"claudia"
"canadian pop, pop","https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s","1uNFoZAHBGtllmzznpCI3s","Justin Bieber",96,"artist","spotify:artist:1uNFoZAHBGtllmzznpCI3s","https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s",NA,57568544,"long",3,4,"claudia"
