"genres","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","range","rangenum","rank","userName"
"hip hop, rap, slap house","https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY","0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott",92,"artist","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY",NA,20004996,"short",1,36,"lord"
"contemporary r&b, dance pop, hip pop, neo soul, pop, pop r&b, pop rap, r&b, urban contemporary","https://api.spotify.com/v1/artists/1vfezMIyCr4XUdYRaKIKi3","1vfezMIyCr4XUdYRaKIKi3","Keyshia Cole",69,"artist","spotify:artist:1vfezMIyCr4XUdYRaKIKi3","https://open.spotify.com/artist/1vfezMIyCr4XUdYRaKIKi3",NA,2894061,"short",1,37,"lord"
"art pop, chillwave, indie pop, indie soul, quebec indie, shiver pop","https://api.spotify.com/v1/artists/2SdK1QDmZIP2hk94rSaLl9","2SdK1QDmZIP2hk94rSaLl9","TOPS",51,"artist","spotify:artist:2SdK1QDmZIP2hk94rSaLl9","https://open.spotify.com/artist/2SdK1QDmZIP2hk94rSaLl9",NA,106314,"short",1,38,"lord"
"melodic rap, rap, trap","https://api.spotify.com/v1/artists/31W5EY0aAly4Qieq6OFu6I","31W5EY0aAly4Qieq6OFu6I","A Boogie Wit da Hoodie",86,"artist","spotify:artist:31W5EY0aAly4Qieq6OFu6I","https://open.spotify.com/artist/31W5EY0aAly4Qieq6OFu6I",NA,6330709,"short",1,39,"lord"
"chicago bop, chicago drill, chicago rap, drill, hip hop, rap, southern hip hop, trap, underground hip hop","https://api.spotify.com/v1/artists/15iVAtD3s3FsQR4w1v6M0P","15iVAtD3s3FsQR4w1v6M0P","Chief Keef",78,"artist","spotify:artist:15iVAtD3s3FsQR4w1v6M0P","https://open.spotify.com/artist/15iVAtD3s3FsQR4w1v6M0P",NA,3193987,"short",1,40,"lord"
"alternative r&b, dance pop, pop, r&b, urban contemporary","https://api.spotify.com/v1/artists/5ZS223C6JyBfXasXxrRqOk","5ZS223C6JyBfXasXxrRqOk","Jhené Aiko",82,"artist","spotify:artist:5ZS223C6JyBfXasXxrRqOk","https://open.spotify.com/artist/5ZS223C6JyBfXasXxrRqOk",NA,5290222,"short",1,41,"lord"
"brooklyn drill, nyc rap","https://api.spotify.com/v1/artists/6EPlBSH2RSiettczlz7ihV","6EPlBSH2RSiettczlz7ihV","Sleepy Hallow",81,"artist","spotify:artist:6EPlBSH2RSiettczlz7ihV","https://open.spotify.com/artist/6EPlBSH2RSiettczlz7ihV",NA,761465,"short",1,42,"lord"
"brooklyn drill, new york drill","https://api.spotify.com/v1/artists/6FheakPfcCNN0NeROtOKeQ","6FheakPfcCNN0NeROtOKeQ","Smoove'L",49,"artist","spotify:artist:6FheakPfcCNN0NeROtOKeQ","https://open.spotify.com/artist/6FheakPfcCNN0NeROtOKeQ",NA,107857,"short",1,43,"lord"
"brooklyn drill, new york drill, nyc rap","https://api.spotify.com/v1/artists/1tG7s7S4sq2eFFW0QZyLbm","1tG7s7S4sq2eFFW0QZyLbm","Sheff G",75,"artist","spotify:artist:1tG7s7S4sq2eFFW0QZyLbm","https://open.spotify.com/artist/1tG7s7S4sq2eFFW0QZyLbm",NA,605772,"short",1,44,"lord"
"brooklyn indie, indie pop","https://api.spotify.com/v1/artists/2uYWxilOVlUdk4oV9DvwqK","2uYWxilOVlUdk4oV9DvwqK","Mitski",85,"artist","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","https://open.spotify.com/artist/2uYWxilOVlUdk4oV9DvwqK",NA,2394219,"short",1,45,"lord"
